Date,"San Francisco, California","Hillsborough, Florida","Cook, Illinois","New York, New York","Harris, Texas","Wayne, Michigan","King, Washington","Suffolk, Massachusetts","Milwaukee, Wisconsin","Ontario, Canada",Italy,Spain,France,Germany,United Kingdom,Norway,Sweden,Iran,Turkey,"Beijing, China","Hubei, China","Korea, South",Malaysia,"New South Wales, Australia"
3/13/20,0.2777777777777777,0.5,0.4814814814814814,0.6210526315789473,0.0,1.0,0.2148148148148148,0.18181818181818188,0.0,0.7619047619047619,0.41710800834537,1.297760210803689,0.6049978079789566,0.7685274302213667,0.75,0.41880341880341887,0.358931552587646,0.12794044665012416,4.0,0.0022988505747125743,7.376698484828914e-05,0.013978904562206074,0.3221476510067114,0.41538461538461546
3/14/20,0.21739130434782616,-0.33333333333333337,0.25,0.7467532467532467,0.22222222222222232,2.0,0.17987804878048785,0.03846153846153855,2.0,0.06756756756756754,0.19801812004530017,0.22152140672782883,0.22070472548484021,0.24761904761904763,0.4285714285714286,0.0943775100401607,0.1805896805896805,0.12011615628299888,0.0,0.002293577981651307,5.9009234945284206e-05,0.01341020177967156,0.20812182741116758,0.21739130434782616
3/15/20,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.31645569620253156,0.16968379259819444,0.22015334063526826,0.006712911165808855,0.26390403489640124,0.0,0.12018348623853203,0.06347554630593133,0.09497996700447797,0.19999999999999996,0.011441647597254079,5.9005753060947796e-05,0.00939896116744987,0.7983193277310925,0.1964285714285714
3/16/20,0.4285714285714286,0.0,0.24,0.721189591078067,0.18181818181818188,0.75,0.2609819121447028,0.33333333333333326,1.1666666666666665,0.7019230769230769,0.1306420980320846,0.2749422928956142,0.47432762836185827,0.25487489214840386,0.35350877192982466,0.09172809172809182,0.07925636007827785,0.07554885923374943,2.0,0.02262443438914019,5.9002271587393906e-05,0.009066405292820434,0.32242990654205617,0.27611940298507465
3/17/20,0.07499999999999996,0.75,0.7258064516129032,0.7580993520518358,0.23076923076923084,0.0,0.16598360655737698,0.16666666666666674,0.8461538461538463,0.04519774011299438,0.12601858470335947,0.18165359082679533,0.15362581034222833,0.272964796479648,0.2637718729747245,0.09752438109527373,0.07887579329102445,0.0785804816223068,1.6111111111111112,0.008849557522123908,1.4749697631266656e-05,0.010199125789218,0.18904593639575973,0.22807017543859653
3/18/20,0.18604651162790709,1.0,0.6635514018691588,1.2985257985257985,0.4375,0.6428571428571428,-0.012302284710017597,0.2142857142857142,0.9583333333333333,0.1945945945945946,0.13353012124674657,0.18403132448076276,0.18178254051228437,0.3316409203845738,0.3466666666666667,0.05946684894053322,0.07478991596638651,0.07372131857257713,1.0851063829787235,0.028508771929824483,1.4749480080844535e-05,0.011177884615384714,0.17384843982169396,0.27142857142857135
3/19/20,0.37254901960784315,0.4285714285714286,0.5617977528089888,1.113308391234634,0.30434782608695654,0.9130434782608696,0.23309608540925275,0.41176470588235303,0.31914893617021267,0.16289592760181004,0.14902136476913164,0.29137311286844003,0.20214530576136247,0.2428003569400503,0.023990860624524046,0.12645161290322582,0.12509773260359647,0.06024998559990791,0.9591836734693877,0.023454157782516027,0.0,0.01806727683347198,0.139240506329114,0.14981273408239693
3/20/20,0.08571428571428563,0.6000000000000001,0.0,0.30273141122913505,0.8333333333333333,0.5227272727272727,0.14430014430014437,0.19444444444444442,0.532258064516129,0.19844357976653693,0.14587547215791408,0.13622446139286315,0.1601508600864685,0.2955613577023499,0.48121978430643364,0.09621993127147777,0.13898540653231417,0.06720269462704409,0.8697916666666667,0.022916666666666696,0.0,0.010157618213660236,0.14444444444444438,0.14983713355048867
3/21/20,0.10526315789473695,0.46875,0.9712230215827338,0.4618520675596971,0.23636363636363633,0.5223880597014925,0.17780580075662034,0.2558139534883721,0.3263157894736841,0.22402597402597402,0.1394483315965207,0.2432141107300343,0.13241357437361234,0.11915558242644098,0.2598543811197589,0.10658307210031337,0.07565588773642462,0.04917532070861341,0.8662952646239555,0.026476578411405383,0.0,0.016990291262136026,0.14854368932038842,0.23512747875354112
3/22/20,0.2857142857142858,0.23404255319148937,0.468978102189781,0.2820717131474104,0.08823529411764697,3.6764705882352944,0.1134903640256959,0.16666666666666674,0.4444444444444444,0.1273209549071619,0.10377393706372029,0.13375896587057623,0.12155160341688842,0.11974969612389152,0.13252291749701084,0.1260623229461757,0.09699376063528087,0.04987869966035907,0.844776119402985,0.03571428571428581,0.0,0.01841118308898748,0.1039729501267963,0.5344036697247707
